brand_name,pants_description,price,MRP,discount_percent,ratings,number_of_ratings,price_num,MRP_num,Number_of_Ratings_num,Fit_Type,is_duplicate
Mufti,Men Slim Fit Jeans,1649.0,3299.0,0.5,4.2,5.0,1649.0,3299.0,50,Slim,True
Mufti,Men Slim Fit Jeans,1649.0,3299.0,0.5,4.2,5.0,1649.0,3299.0,50,Slim,True
Thomas Scott,Men Bootcut Stretchable Jeans,874.0,3499.0,0.75,3.6,234.0,874.0,3499.0,2340,Bootcut,False
Mast & Harbour,Men Relaxed Fit Jeans,819.0,2599.0,17.8,3.4,252.0,819.0,2599.0,2520,Relaxed,False
Mufti,Men Skinny Fit Jeans,1762.0,4299.0,0.59,4.9,7.0,1762.0,4299.0,70,Skinny,True
HIGHLANDER,Men Cotton Relaxed Fit Jeans,574.0,2299.0,0.75,3.5,234.0,574.0,2299.0,2340,Relaxed,False
Mast & Harbour,Men Stretchable Jeans,889.0,2999.0,0.7,3.7,189.0,889.0,2999.0,1890,Stretch,False
Mufti,Men Slim Fit Jeans,1214.0,4499.0,0.73,4.4,43.0,1214.0,4499.0,430,Slim,False
Urbano Fashion,Men Relaxed Fit Jeans,944.0,2099.0,0.55,3.8,567.0,944.0,2099.0,5670,Relaxed,False
Bene Kleed,Men Wide Leg High-Rise Jeans,1035.0,2799.0,0.63,3.9,45.0,1035.0,2799.0,450,Wide Leg,False
Mufti,Men Skinny Fit Jeans,2149.0,4299.0,0.5,3.9,45.0,2149.0,4299.0,450,Skinny,False
Mast & Harbour,Men Slim Fit Mid-Rise Jeans,764.0,1699.0,0.55,4.0,9.0,764.0,1699.0,90,Slim,False
HIGHLANDER,Men Relaxed Fit Cotton Jeans,791.0,2399.0,0.67,3.6,2800.0,791.0,2399.0,28000,Relaxed,False
Mufti,Men Slim Fit Stretchable Jeans,1332.0,4299.0,0.69,3.4,87.0,1332.0,4299.0,870,Slim,False
Bene Kleed,Men Straight Fit Jeans,989.0,2999.0,0.67,4.1,73.0,989.0,2999.0,730,Straight Fit,False
V-Mart,Men Straight Fit Jeans,809.0,899.0,0.1,3.5,41.0,809.0,899.0,410,Straight Fit,True
Flying Machine,Men Relaxed Fit Jeans,1424.0,2499.0,0.43,4.1,8.0,1424.0,2499.0,80,Relaxed,False
Urbano Fashion,Men Relaxed Fit Cotton Jeans,1079.0,2399.0,0.55,4.0,485.0,1079.0,2399.0,4850,Relaxed,False
The Indian Garage Co,Men Relaxed Fit Jeans,661.0,2449.0,0.73,3.8,127.0,661.0,2449.0,1270,Relaxed,True
Levis,Men 511 Slim Fit Jeans,2079.0,3199.0,0.35,4.2,794.0,2079.0,3199.0,7940,Slim,True
Kotty,Men Regular Fit Mid-Rise Jeans,659.0,1999.0,0.67,3.4,21.0,659.0,1999.0,210,Regular,False
Urbano Fashion,Men Bootcut Jeans,944.0,2099.0,0.55,4.1,1100.0,944.0,2099.0,11000,Bootcut,False
Levis,Men Regular Fit Jeans,944.0,2099.0,0.55,4.1,1100.0,944.0,2099.0,11000,Regular,False
Roadster,Men Relaxed Fit Jeans,645.0,1699.0,0.62,3.6,45.0,645.0,1699.0,450,Relaxed,False
Mast & Harbour,Men Cotton Regular Fit Jeans,1121.0,2199.0,0.49,1.8,423.0,1121.0,2199.0,4230,Regular,False
Flying Machine,Men Tapered Fit Jeans,1829.0,2999.0,0.39,1.8,423.0,1829.0,2999.0,4230,Tapered,False
Bene Kleed,Men Straight Fit Jeans,979.0,3499.0,0.72,3.5,115.0,979.0,3499.0,1150,Straight Fit,False
Nautica,Men Slim Fit Jeans,1088.0,3299.0,0.67,4.5,30.0,1088.0,3299.0,300,Slim,False
Flying Machine,Men Micheal Slim Fit Jeans,1559.0,2599.0,0.4,4.1,554.0,1559.0,2599.0,5540,Slim,True
Bene Kleed,Men High-Rise Baggy Fit Jeans,983.0,2399.0,0.59,3.6,34.0,983.0,2399.0,340,High-Rise,False
Urbano Fashion,Men Mid Rise Bootcut Jeans,899.0,1999.0,0.55,4.2,1200.0,899.0,1999.0,12000,Bootcut,False
Mufti,Men Slim Fit Mid-Rise Jeans,1332.0,4299.0,0.69,4.1,24.0,1332.0,4299.0,240,Slim,False
MASTERLY WEFT,Men Mid-Rise Stretchable Jeans,959.0,1999.0,0.52,3.2,6.0,959.0,1999.0,60,Stretch,False
Kotty,Men Low-Rise Jeans,619.0,1999.0,0.69,4.4,25.0,619.0,1999.0,250,Low-Rise,False
Flying Machine,Men Super Skinny Fit Jeans,1649.0,2999.0,0.45,4.4,25.0,1649.0,2999.0,250,Skinny,False
The Indian Garage Co,Men Slim Fit Jeans,659.0,1999.0,0.67,3.8,1400.0,659.0,1999.0,14000,Slim,False
glitchez,Men Baggy Loose Jeans,747.0,2199.0,0.66,3.3,65.0,747.0,2199.0,650,Other,False
Flying Machine,Men Slim Fit Mid-Rise Jeans,1448.0,2299.0,0.37,3.3,65.0,1448.0,2299.0,650,Slim,False
Mast & Harbour,Relaxed Fit Jeans,831.0,2599.0,0.68,3.6,203.0,831.0,2599.0,2030,Relaxed,False
Bene Kleed,Men Straight Fit Cotton Jeans,1049.0,2999.0,0.65,3.5,32.0,1049.0,2999.0,320,Straight Fit,False
Mufti,Men Slim Fit Jeans,2149.0,4299.0,0.5,3.4,5.0,2149.0,4299.0,50,Slim,True
Roadster,Men Cotton Mid Rise Jeans,919.0,2299.0,0.6,3.9,61.0,919.0,2299.0,610,Mid Rise,False
HIGHLANDER,Men Wide Leg Cotton Jeans,1099.0,2799.0,17.0,3.9,236.0,1099.0,2799.0,2360,Wide Leg,False
Flying Machine,Men Slim Fit Jeans,1707.0,2799.0,0.39,3.9,236.0,1707.0,2799.0,2360,Slim,False
Mast & Harbour,Men Relaxed Fit Jeans,883.0,3399.0,0.74,4.1,703.0,883.0,3399.0,7030,Relaxed,False
HIGHLANDER,Men Slim Fit Jeans,675.0,1299.0,0.48,3.8,13700.0,675.0,1299.0,137000,Slim,False
Flying Machine,Men Slim Fit Jeans,1829.0,2999.0,0.39,3.8,13700.0,1829.0,2999.0,137000,Slim,False
Sztori,Plus Size Stretchable Jeans,863.0,2699.0,0.68,4.4,555.0,863.0,2699.0,5550,Stretch,False
HERE&NOW,Men Bootcut Jeans,869.0,2499.0,16.3,4.2,374.0,869.0,2499.0,3740,Bootcut,False
Flying Machine,Non Stretchable Cotton Jeans,1829.0,2999.0,0.39,4.2,374.0,1829.0,2999.0,3740,Stretch,False
Roadster,Men Pure Cotton Jeans,917.0,3399.0,0.73,4.0,534.0,917.0,3399.0,5340,Pure Cotton,False
Roadster,Men Straight Fit Jeans,599.0,1499.0,0.6,4.2,80.0,599.0,1499.0,800,Straight Fit,False
TURMS,30 Days No Wash Jeans,3499.0,4999.0,15.0,3.7,22.0,3499.0,4999.0,220,Other,False
Roadster,Men Cotton Baggy-Fit Jeans,1024.0,2499.0,0.59,3.9,355.0,1024.0,2499.0,3550,Other,False
Bene Kleed,Mid-Rise Heavy Fade Jeans,989.0,2999.0,0.67,3.5,100.0,989.0,2999.0,1000,Mid-Rise,False
Flying Machine,Men Slim Fit Cotton Jeans,1829.0,2999.0,0.39,3.5,100.0,1829.0,2999.0,1000,Slim,False
WROGN,Men Slim Fit Jeans,919.0,2299.0,0.6,4.5,15.0,919.0,2299.0,150,Slim,False
Roadster,Men Pure Cotton Jeans,725.0,2199.0,0.67,3.9,225.0,725.0,2199.0,2250,Pure Cotton,False
WROGN,Men Relaxed Fit Mid-Rise Jeans,1594.0,2899.0,0.45,4.3,25.0,1594.0,2899.0,250,Relaxed,False
Nautica,Men Straight Fit Jeans,1385.0,3299.0,0.58,4.4,76.0,1385.0,3299.0,760,Straight Fit,False
WROGN,Men Anti fit Light Fade Jeans,1268.0,2699.0,0.53,4.2,37.0,1268.0,2699.0,370,Anti Fit,False
